Adaptability,Sensitivity,Precision,Is parent circuit,Circuit idx,Species,Step,Params energy,Params equilibrium constants,Params rates
828.71484375,0.3551423251628876,204220.5625,True,1470,RNA_2,14,"[-0.7377907037734985, -0.8747125267982483, -11.549887657165527, -1.812213659286499, -24.9941463470459, -24.9941463470459]","[3.026558260899037e-06, 3.376918584763189e-06, 0.017276514321565628, 7.148940312617924e-06, 809.9723510742188, 809.9723510742188]","[498.7781066894531, 447.0291442871094, 0.0873776376247406, 211.16151428222656, 1.8637439325175365e-06, 1.8637439325175365e-06]"
828.70556640625,0.3537331819534302,211669.796875,True,1567,RNA_2,15,"[-0.3313162922859192, -0.7859763503074646, -11.51148509979248, -1.7261888980865479, -22.83444595336914, -24.420326232910156]","[2.186377287216601e-06, 3.1455037969863042e-06, 0.01675381511449814, 6.673497864539968e-06, 143.9174346923828, 511.80523681640625]","[690.4485473632812, 479.9170837402344, 0.09010371565818787, 226.20535278320312, 1.0489215128473006e-05, 2.9495222406694666e-06]"
828.6666870117188,0.3593883812427521,176746.09375,True,1975,RNA_2,19,"[-1.102695345878601, -0.8947028517723083, -11.663561820983887, -3.2692623138427734, -24.211200714111328, -24.9941463470459]","[4.0525628719478846e-06, 3.4313552532694302e-06, 0.01892128214240074, 2.293359830218833e-05, 432.958984375, 809.9723510742188]","[372.5003356933594, 439.9372253417969, 0.07978217303752899, 65.8239974975586, 3.4866607165895402e-06, 1.8637439325175365e-06]"
828.6484985351562,0.3305930495262146,434091.46875,True,1537,RNA_2,15,"[-0.5945608615875244, -0.5470728874206543, -11.03872013092041, -2.1948764324188232, -24.360553741455078, -24.9941463470459]","[2.6988927857019007e-06, 2.5982860734075075e-06, 0.011477791704237461, 9.709399819257669e-06, 487.9075927734375, 809.9723510742188]","[559.3334350585938, 580.9910888671875, 0.13152189552783966, 155.4762420654297, 3.0939893349568592e-06, 1.8637439325175365e-06]"
828.6385498046875,0.32794901728630066,475751.90625,True,1924,RNA_2,19,"[-0.38390740752220154, -0.5835551023483276, -10.988502502441406, -3.1452462673187256, -24.9941463470459, -24.22897720336914]","[2.280326725667692e-06, 2.6752350095193833e-06, 0.01102582085877657, 2.076752389257308e-05, 809.9723510742188, 439.1601867675781]","[662.0020751953125, 564.27978515625, 0.1369132548570633, 72.68950653076172, 1.8637439325175365e-06, 3.437426812524791e-06]"
828.5662841796875,0.35604241490364075,184253.21875,True,631,RNA_2,6,"[-0.672014057636261, -2.347598075866699, -11.58591365814209, -2.5439860820770264, -21.389209747314453, -24.9941463470459]","[2.871414153560181e-06, 1.0971177289320622e-05, 0.017781684175133705, 1.2837650501751341e-05, 45.28839111328125, 809.9723510742188]","[525.7273559570312, 137.5951690673828, 0.08489527553319931, 117.59013366699219, 3.3332624298054725e-05, 1.8637439325175365e-06]"
828.56494140625,0.36502355337142944,144382.046875,True,1763,RNA_2,17,"[-0.9044690728187561, -0.7669013738632202, -11.792245864868164, -0.9091776609420776, -24.68871307373047, -23.34202003479004]","[3.4582710668473737e-06, 3.097866965617868e-06, 0.020972974598407745, 3.4713214063231135e-06, 634.3833618164062, 216.0044708251953]","[436.5132141113281, 487.29693603515625, 0.07197743654251099, 434.8721618652344, 2.379603756708093e-06, 6.988655968598323e-06]"
828.5321655273438,0.35544660687446594,184102.921875,True,1521,RNA_2,15,"[-0.31582415103912354, -1.1231077909469604, -11.544977188110352, -1.612532615661621, -20.80524253845215, -22.654422760009766]","[2.1594476038444554e-06, 4.1192834032699466e-06, 0.017208779230713844, 6.093479896662757e-06, 28.385465621948242, 124.61395263671875]","[699.058837890625, 366.4668884277344, 0.0877215638756752, 247.7371063232422, 5.318147668731399e-05, 1.2114061064494308e-05]"
828.522705078125,0.33983883261680603,293325.75,True,1886,RNA_2,18,"[-0.6748543381690979, -0.5678198337554932, -11.214807510375977, -1.7578539848327637, -24.124658584594727, -24.9941463470459]","[2.8779443255189108e-06, 2.6417692424729466e-06, 0.013214092701673508, 6.844713425380178e-06, 403.998046875, 809.9723510742188]","[524.5344848632812, 571.4280395507812, 0.11424022912979126, 220.5469970703125, 3.73660486729932e-06, 1.8637439325175365e-06]"
828.495849609375,0.369945228099823,123128.1796875,True,1988,RNA_2,19,"[-0.5684046745300293, -1.15129554271698, -11.919660568237305, -2.410226345062256, -24.9941463470459, -24.9941463470459]","[2.643006155267358e-06, 4.21322920374223e-06, 0.02322353795170784, 1.1534867553564254e-05, 809.9723510742188, 809.9723510742188]","[571.16064453125, 358.2955017089844, 0.0650021955370903, 130.87112426757812, 1.8637439325175365e-06, 1.8637439325175365e-06]"
